,,Location,
LEVETIRACETAM 500 MG/5 ML INTRAVENOUS SOLUTION,PHRM,,
LEVETIRACETAM 500 MG/5 ML IV SOLN (LOADING DOSE),STR,,
LEVETIRACETAM 500 MG/5 ML IV SOLN (MAINT DOSE),STR,,
LEVETIRACETAM 750 MG TABLET,PHRM,,
LEVETIRACETAM IVPB,STR,,
LEVOCARNITINE (WITH SUGAR) 100 MG/ML ORAL SOLUTION,STR,,
LEVOCARNITINE 200 MG/ML INTRAVENOUS SOLUTION,STR,,
LEVOCARNITINE 330 MG TABLET,STR,,
LEVOCARNITINE IVPB,STR,,
LEVOFLOXACIN 250 MG TABLET,STR,,
LEVOFLOXACIN 500 MG TABLET,STR,,
LEVOFLOXACIN 500 MG/100 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,STR,,
LEVOFLOXACIN 750 MG TABLET,STR,,
LEVOFLOXACIN 750 MG/150 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,STR,,
LEVONORGESTREL 0.15 MG-ETHINYL ESTRADIOL 0.03 MG TABLET,STR,,
LEVONORGESTREL-ETHINYL ESTRADIOL 0.1 MG-20 MCG TABLET,STR,,
LEVOTHYROXINE 100 MCG TABLET,PHRM,,
LEVOTHYROXINE 100 MCG/ML INTRAVENOUS SOLUTION,STR,,
LEVOTHYROXINE 112 MCG TABLET,PHRM,,
LEVOTHYROXINE 112 MCG/ML ORAL SOLUTION,STR,,
LEVOTHYROXINE 125 MCG TABLET,PHRM,,
LEVOTHYROXINE 137 MCG TABLET,STR,,
LEVOTHYROXINE 150 MCG TABLET,PHRM,,
LEVOTHYROXINE 175 MCG TABLET,STR,,
LEVOTHYROXINE 20 MCG/ML INTRAVENOUS SOLUTION,STR,,
LEVOTHYROXINE 200 MCG TABLET,STR,,
LEVOTHYROXINE 25 MCG TABLET,PHRM,,
LEVOTHYROXINE 50 MCG TABLET,PHRM,,
LEVOTHYROXINE 75 MCG TABLET,PHRM,,
LEVOTHYROXINE 88 MCG TABLET,PHRM,,
LEVOTHYROXINE INFUSION,STR,,
LIDOCAINE (PF) 10 MG/ML (1 %) INJECTION SOLUTION,STR,,LIDOCAINE 4 (SALON-PAS)% TOPICAL PATCH 
LIDOCAINE 4 (SALON-PAS)% TOPICAL PATCH,PHRM, Store - Section - Zone -Topicals/Onitments/Patches/Eyedrops,
LIDOCAINE (PF) 100 MG/5 ML (2 %) INTRAVENOUS SYRINGE,STR,,
LIDOCAINE (PF) 20 MG/ML (2 %) INJECTION SOLUTION,STR,,
LIDOCAINE (PF) 20 MG/ML (2 %) INTRAVENOUS SOLUTION,STR,,
LIDOCAINE (PF) 4 MG/ML (0.4 %) IN 5 % DEXTROSE INTRAVENOUS SOLUTION,STR,,
LIDOCAINE (PF) 40 MG/ML (4 %) INJECTION SOLUTION,STR,,
"LIDOCAINE 1 %-EPINEPHRINE 1:100,000 INJECTION SOLUTION",STR,,
LIDOCAINE 2 % MUCOSAL JELLY,STR,,
LIDOCAINE 2 % MUCOSAL JELLY IN APPLICATOR,STR,,
"LIDOCAINE 20 MG/ML (2 %)-EPINEPHRINE 1:100,000 INJECTION SOLUTION",STR,,
LIDOCAINE 4 (SALON-PAS)% TOPICAL PATCH,PHRM,, Store - Section - Zone -Topicals/Onitments/Patches/Eyedrops
LIDOCAINE 4 %-EPINEPHRINE 0.18 %-TETRACAINE 0.5 % TOPICAL GEL,STR,,
LIDOCAINE 5 % TOPICAL OINTMENT,STR,,
LIDOCAINE HCL 10 MG/ML (1 %) INJECTION SOLUTION,STR,,
LIDOCAINE HCL 2 % MUCOSAL JELLY,STR,,
LIDOCAINE HCL 2 % MUCOSAL SOLUTION,PHRM,,
LIDOCAINE HCL 20 MG/ML (2 %) INJECTION SOLUTION,STR,,
LIDOCAINE HCL 4 % (40 MG/ML) MUCOSAL SOLUTION,STR,,
"LIDOCAINE, EPINEPHRINE,TETRACAINE,SODIUM METABISULFITE (L.E.T) GEL",STR,,
LIDOCAINE-DIPHENHYD-AL-MAG-SIM 200 MG-25 MG-400 MG-40MG/30ML MOUTHWASH,STR,,
"LIDOCAINE-EPINEPHRINE (PF) 1.5 %-1:200,000 INJECTION SOLUTION",STR,,
"LIDOCAINE-EPINEPHRINE (PF) 2 %-1:200,000 INJECTION SOLUTION",STR,,
"LIDOCAINE-EPINEPHRINE 0.5 %-1:200,000 INJECTION SOLUTION",STR,,
LIDOCAINE-PRILOCAINE 2.5 %-2.5 % TOPICAL CREAM,STR,,
LINACLOTIDE 145 MCG CAPSULE,STR,,
LINACLOTIDE 290 MCG CAPSULE,STR,,
LINACLOTIDE 72 MCG CAPSULE,STR,,
LINAGLIPTIN 5 MG TABLET,STR,,
LINEZOLID 600 MG TABLET,STR,,
LINEZOLID IN 5% DEXTROSE IN WATER 600 MG/300 ML INTRAVENOUS PIGGYBACK,STR,,
LIOTHYRONINE 25 MCG TABLET,STR,,
LIOTHYRONINE 5 MCG TABLET,STR,,
"LIPASE-PROTEASE-AMYLASE 12,000-38,000-60,000 UNIT CAPSULE,DELAYED REL",PHRM,,
"LIPASE-PROTEASE-AMYLASE 24,000-76,000-120,000 UNIT CAPSULE,DELAYED REL",STR,,
"LIPASE-PROTEASE-AMYLASE 3,000-9,500-15,000 UNIT CAPSULE, DELAYED REL",STR,,
"LIPASE-PROTEASE-AMYLASE 6,000-19,000-30,000 UNIT CAPSULE,DELAYED REL",STR,,
LISDEXAMFETAMINE 10 MG CAPSULE,VAULT,,
LISDEXAMFETAMINE 30 MG CAPSULE,VAULT,,
LISDEXAMFETAMINE 70 MG CAPSULE,VAULT,,
LISINOPRIL 10 MG TABLET,PHRM,,
LISINOPRIL 2.5 MG TABLET,PHRM,,
LISINOPRIL 20 MG TABLET,PHRM,,
LISINOPRIL 30 MG TABLET,STR,,
LISINOPRIL 5 MG TABLET,PHRM,,
LITHIUM CARBONATE 150 MG CAPSULE,STR,,
LITHIUM CARBONATE 300 MG CAPSULE,PHRM,,
LITHIUM CARBONATE 300 MG TABLET,PHRM,,
"LITHIUM CARBONATE ER 300 MG TABLET,EXTENDED RELEASE",STR,,
"LITHIUM CARBONATE ER 450 MG TABLET,EXTENDED RELEASE",STR,,
LITHIUM CITRATE 8 MEQ/5 ML ORAL SOLUTION,STR,,
LOPERAMIDE 1 MG/7.5 ML ORAL LIQUID,PHRM,,
LOPERAMIDE 2 MG CAPSULE,PHRM,,
LOPINAVIR-RITONAVIR 200 MG-50 MG TABLET,VIT,,
LORATADINE 10 MG TABLET,PHRM,,
LORAZEPAM 0.5 MG TABLET,VAULT,,
LORAZEPAM 1 MG TABLET,VAULT,,
LORAZEPAM 2 MG TABLET,VAULT,,
LORAZEPAM 2 MG/ML INJECTION SOLUTION,STR,,
LORAZEPAM 2 MG/ML INJECTION SYRINGE,STR,,
LOSARTAN 100 MG TABLET,STR,,
LOSARTAN 25 MG TABLET,STR,,
LOSARTAN 50 MG TABLET,STR,,
LOTEPREDNOL ETABONATE 0.38 % EYE GEL DROPS,STR,,
LOTEPREDNOL ETABONATE 0.5 % EYE OINTMENT,STR,,
LUBIPROSTONE 8 MCG CAPSULE,STR,,
LURASIDONE 20 MG TABLET,STR,,
LURASIDONE 40 MG TABLET,STR,,
LURASIDONE 60 MG TABLET,STR,,
LUSPATERCEPT-AAMT 75 MG IN SWFI INJECTION,STR,,
MACITENTAN 10 MG TABLET,STR,,
MAGIC MOUTHWASH,STR,,
MAGIC MOUTHWASH (ANESTHETIC),STR,,
MAGNESIUM 118 MG (AS GLYCINATE) CAPSULE,STR,,
"MAGNESIUM 400 MG (AS MAGNESIUM ASPARTATE,CITRATE,OXIDE) CAPSULE",PHRM,,
MAGNESIUM CITRATE ORAL SOLUTION,STR,,
MAGNESIUM HYDROXIDE 400 MG/5 ML ORAL SUSPENSION,PHRM,,
MAGNESIUM OXIDE 400 MG (241.3 MG MAGNESIUM) TABLET,PHRM,,
MAGNESIUM SULFATE IN 5% DSW 1 GRAM/100 ML IVBG,IV,,
MAGNESIUM SULFATE 4 GRAM/100 ML (4 %) IN WATER INTRAVENOUS PIGGYBACK,IV,,
MAGNESIUM SULFATE 500 MG/ML (50 %) INJECTION SOLUTION,IV,,
MAGNESIUM SULFATE IV SYRINGE 60 MG/ML NS SLW,STR,,
MANNITOL 20 % INTRAVENOUS SOLUTION,STR,,
MANNITOL 25 % INTRAVENOUS SOLUTION,STR,,
MARAVIROC 150 MG TABLET,VIT,,
MECLIZINE 12.5 MG TABLET,PHRM,,
MECLIZINE 25 MG TABLET,PHRM,,
MEDROXYPROGESTERONE 10 MG TABLET,STR,,
MEDROXYPROGESTERONE 150 MG/ML INTRAMUSCULAR SUSPENSION,STR,,
MEDROXYPROGESTERONE 150 MG/ML INTRAMUSCULAR SYRINGE,STR,,
MEDROXYPROGESTERONE 2.5 MG TABLET,STR,,
MEDROXYPROGESTERONE 5 MG TABLET,STR,,
MEGESTROL 40 MG TABLET,STR,,
MEGESTROL 400 MG/10 ML (10 ML) ORAL SUSPENSION,STR,,
MELATONIN 1 MG TABLET,PHRM,,
MELATONIN 3 MG TABLET,PHRM,,
MELATONIN 5 MG TABLET,PHRM,,
MEMANTINE 10 MG TABLET,PHRM,,
MEMANTINE 5 MG TABLET,PHRM,,
MEPERIDINE (PF) 25 MG/ML INJECTION SOLUTION,STR,,
MEPIVACAINE (PF) 15 MG/ML (1.5 %) INJECTION SOLUTION,STR,,
MEPIVACAINE (PF) 20 MG/ML (2 %) INJECTION SOLUTION,STR,,
MEPOLIZUMAB 100 MG SUBCUTANEOUS SOLUTION,STR,,
MEROPENEM 1 G IN NS 0.9 % 100 ML IVPB PYXIS MINIBAG,IV,,
MEROPENEM 2 G/100 ML NS 0.9 IVPB (ADD-EASE),IV,,
MEROPENEM 2 GRAM IVPB,IV,,
MEROPENEM 3 G/240 ML NS ELASTOMERIC,STR,,
MEROPENEM 500 MG IN NS 100 ML IVPB PYXIS MINIBAG,IV,,
"MESALAMINE 1,000 MG RECTAL SUPPOSITORY",STR,,
"MESALAMINE 1.2 GRAM TABLET,DELAYED RELEASE",STR,,
MESALAMINE 4 GRAM/60 ML ENEMA,STR,,
MESALAMINE 400 MG CAPSULE (WITH DELAYED RELEASE TABLETS INSIDE),STR,,
"MESALAMINE 800 MG TABLET,DELAYED RELEASE",STR,,
"MESALAMINE ER 250 MG CAPSULE,EXTENDED RELEASE",STR,,
MESNA INFUSION,STR,,
METFORMIN 500 MG TABLET,PHRM,,
METFORMIN 850 MG TABLET,STR,,
METHADONE 10 MG TABLET,VAULT,,
METHADONE 10 MG/ML INJECTION SOLUTION,VAULT,,
METHADONE 10 MG/ML ORAL CONCENTRATE,VAULT,,
METHADONE 5 MG TABLET,VAULT,,
METHAZOLAMIDE 50 MG TABLET,STR,,
METHIMAZOLE 10 MG TABLET,STR,,
METHIMAZOLE 5 MG TABLET,STR,,
METHOCARBAMOL 500 MG TABLET,PHRM,,
METHOCARBAMOL 750 MG TABLET,STR,,
METHOTREXATE SODIUM (PF) 25 MG/ML INJECTION SOLUTION,STR,,
METHOTREXATE SODIUM 2.5 MG TABLET,STR,,
METHOTREXATE SODIUM 25 MG/ML INJECTION SOLUTION,STR,,
METHYL SALICYLATE 15 %-MENTHOL 10 % TOPICAL CREAM,STR,,
METHYLENE BLUE (ANTIDOTE) 5 MG/ML INTRAVENOUS SOLUTION,STR,,
METHYLENE BLUE IVPB,STR,,
METHYLERGONOVINE 0.2 MG TABLET,STR,,
METHYLERGONOVINE 0.2 MG/ML (1 ML) INJECTION SOLUTION,STR,,
METHYLNALTREXONE 12 MG/0.6 ML SUBCUTANEOUS SOLUTION,STR,,
METHYLNALTREXONE 12 MG/0.6 ML SUBCUTANEOUS SYRINGE,STR,,
METHYLNALTREXONE 8 MG/0.4 ML SUBCUTANEOUS SYRINGE,STR,,
METHYLPHENIDATE 5 MG TABLET,VAULT,,
"METHYLPHENIDATE ER 18 MG TABLET,EXTENDED RELEASE 24 HR",VAULT,,
"METHYLPHENIDATE ER 27 MG TABLET,EXTENDED RELEASE 24 HR",VAULT,,
"METHYLPHENIDATE ER 36 MG TABLET,EXTENDED RELEASE 24 HR",VAULT,,
METHYLPREDNISOLONE 16 MG TABLET,STR,,
METHYLPREDNISOLONE 1G IN NS 250 ML PYXIS MINIBAG,IV,,
METHYLPREDNISOLONE 32 MG TABLET,STR,,
METHYLPREDNISOLONE 4 MG TABLET,STR,,
METHYLPREDNISOLONE ACETATE 40 MG/ML SUSPENSION FOR INJECTION VIAL,STR,,
METHYLPREDNISOLONE ACETATE 80 MG/ML SUSPENSION FOR INJECTION VIAL,STR,,
METHYLPREDNISOLONE IVPB,STR,,
METHYLPREDNISOLONE SOD SUCC (PF) 125 MG/2 ML SOLUTION FOR INJECTION VIAL,STR,,
METHYLPREDNISOLONE SOD SUCC (PF) 40 MG/ML SOLUTION FOR INJECTION VIAL,STR,,
METOCLOPRAMIDE 10 MG TABLET,STR,,
METOCLOPRAMIDE 10MG IN NS 50 ML PYXIS MINIBAG,IV,,
METOCLOPRAMIDE 5 MG TABLET,STR,,
METOCLOPRAMIDE 5 MG/ML INJECTION SOLUTION VIAL,STR,,
METOCLOPRAMIDE IVPB,IV,,
METOLAZONE 2.5 MG TABLET,STR,,
METOLAZONE 5 MG TABLET,STR,,
METOPROLOL 5 MG D5 W 50 ML IVPB PYXIS MINIBAG,IV,,
METOPROLOL IVPB,IV,,
"METOPROLOL SUCCINATE ER 100 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"METOPROLOL SUCCINATE ER 12.5 MG HALF TABLET,EXTENDED RELEASE 24 HR",PHRM,,
"METOPROLOL SUCCINATE ER 200 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"METOPROLOL SUCCINATE ER 25 MG TABLET,EXTENDED RELEASE 24 HR",PHRM,,
"METOPROLOL SUCCINATE ER 50 MG TABLET,EXTENDED RELEASE 24 HR",PHRM,,
METOPROLOL TARTRATE 12.5 MG HALF TABLET,PHRM,,
METOPROLOL TARTRATE 25 MG TABLET,PHRM,,
METOPROLOL TARTRATE 5 MG/5 ML INTRAVENOUS SOLUTION,IV,,
METOPROLOL TARTRATE 50 MG TABLET,PHRM,,
METRONIDAZOLE 0.75 % (37.5 MG/5 GRAM) VAGINAL GEL,STR,,
METRONIDAZOLE 250 MG TABLET,STR,,
METRONIDAZOLE 500 MG TABLET,STR,,
METRONIDAZOLE 500 MG/100 ML IN SODIUM CHLOR(ISO) INTRAVENOUS PIGGYBACK,IV,,
METRONIDAZOLE PEP KIT,VIT,,
MEXILETINE 150 MG CAPSULE,STR,,
MEXILETINE 200 MG CAPSULE,STR,,
MICAFUNGIN 100 MG IN 0.9 % SODIUM CHLORIDE 100 ML ADD-EASE,STR,,
MICAFUNGIN 50 MG IN 0.9 % SODIUM CHLORIDE 100 ML ADD-EASE,STR,,
MICAFUNGIN IVPB,STR,,
MICONAZOLE NITRATE 2 % TOPICAL CREAM,STR,,
MICONAZOLE NITRATE 2 % TOPICAL POWDER,STR,,
MICONAZOLE NITRATE 2 % VAGINAL CREAM,STR,,
MICONAZOLE NITRATE 200 MG-2 % (9 GRAM) VAGINAL KIT,STR,,
MIDAZOLAM (PF) 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,VAULT,,
MIDAZOLAM (PF) 1 MG/ML INJECTION SOLUTION,VAULT,,
MIDAZOLAM (PF) 5 MG/ML INJECTION FOR INTRANASAL ADMINISTRATION,VAULT,,
MIDAZOLAM (PF) 5 MG/ML INJECTION SOLUTION,VAULT,,
MIDAZOLAM 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,VAULT,,
MIDAZOLAM 1 MG/ML IN 0.9% SODIUM CHLORIDE INTRAVENOUS SEDATION SLW,VAULT,,
MIDAZOLAM 1 MG/ML INJECTION SOLUTION,VAULT,,
MIDAZOLAM 2 MG/ML ORAL SYRUP,VAULT,,
MIDAZOLAM 250 MG IN 250 NS IVPB,VAULT,,
MIDAZOLAM 5 MG/ML INJECTION SOLUTION,VAULT,,
MIDAZOLAM 50 MG IN NS 50 ML INFUSION (MSB),VAULT,,
MIDODRINE 10 MG TABLET,PHRM,,
MIDODRINE 2.5 MG TABLET,PHRM,,
MIDODRINE 5 MG TABLET,PHRM,,
MILRINONE 1 MG/ML INTRAVENOUS SOLUTION,IV,,
MILRINONE 20 MG/100 ML(200 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS PIGGYBK,IV,,
MILRINONE IN NS 40 MG/200 ML (200 MCG/ML) INFUSION,IV,,
MINERAL OIL,STR,,
MINERAL OIL ENEMA,STR,,
MINERAL OIL ORAL,STR,,
MINOCYCLINE (MINOCIN) IVPB,STR,,
MINOCYCLINE 100 MG TABLET,STR,,
MINOXIDIL 2.5 MG TABLET,STR,,
"MIRABEGRON ER 50 MG TABLET,EXTENDED RELEASE 24 HR",PYXIS,,
MIRTAZAPINE 15 MG TABLET,PHRM,,
MIRTAZAPINE 30 MG TABLET,PHRM,,
MIRTAZAPINE 45 MG TABLET,STR,,
MIRTAZAPINE 7.5 MG TABLET,STR,,
MISOPROSTOL 100 MCG TABLET,STR,,
MISOPROSTOL 200 MCG TABLET,STR,,
MISOPROSTOL 25 MCG TAB,STR,,
MITOMYCIN 20 MG INTRAVENOUS SOLUTION,STR,,
MODAFINIL 100 MG TABLET,STR,,
MONTELUKAST 10 MG TABLET,PHRM,,
MONTELUKAST 5 MG CHEWABLE TABLET,STR,,
MORPHINE (PF) 1 MG/ML INJECTION SOLUTION,VAULT,,
MORPHINE (PF) 2 MG/2 ML (1 MG/ML) IN 0.9% SODIUM CHLORIDE INJ SYRINGE,VAULT,,
MORPHINE 1 MG/ML IN 0.9 % SODIUM CHLORIDE INJECTION (PCA LOCKED DOSING),VAULT,,
MORPHINE 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,VAULT,,
MORPHINE 1 MG/ML IN 0.9 % SODIUM CHLORIDE IV PCA (PALLIATIVE CARE DOSING),VAULT,,
MORPHINE 10 MG/5 ML ORAL SOLUTION,VAULT,,
MORPHINE 10 MG/ML INTRAVENOUS SOLUTION,VAULT,,
MORPHINE 15 MG IMMEDIATE RELEASE TABLET,VAULT,,
MORPHINE 2 MG/ML INJECTION SOLUTION,VAULT,,
MORPHINE 2 MG/ML INJECTION SYRINGE,VAULT,,
MORPHINE 4 MG/ML INTRAVENOUS SOLUTION,VAULT,,
MORPHINE 7.5 MG IMMEDIATE RELEASE HALF TABLET,VAULT,,
"MORPHINE ER 100 MG TABLET,EXTENDED RELEASE",VAULT,,
"MORPHINE ER 15 MG TABLET,EXTENDED RELEASE",VAULT,,
"MORPHINE ER 30 MG TABLET,EXTENDED RELEASE",VAULT,,
MOXIFLOXACIN 0.5 % EYE DROPS,VIT,,
MOXIFLOXACIN 400 MG/250 ML-SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK,VIT,,
MULTIVITAMIN TABLET,VIT,,
MULTIVITAMIN WITH FOLIC ACID 400 MCG TABLET,VIT,,
MULTIVITAMIN-IRON 9 MG-FOLIC ACID 400 MCG-CALCIUM AND MINERALS TABLET,VIT,,
MULTIVIT-MINERALS-IRON 45 MG-FOLIC ACID 800 MCG-VIT K 120 MCG CAPSULE,STR,,
MUPIROCIN 2 % TOPICAL OINTMENT,STR,,
MYCOPHENOLATE IVPB 1 G IN 170 ML D5W,STR,,
MYCOPHENOLATE IVPB 500 MG IN 85 ML D5W,STR,,
MYCOPHENOLATE MOFETIL 250 MG CAPSULE,PHRM,,
MYCOPHENOLATE MOFETIL 500 MG TABLET,PHRM,,
"MYCOPHENOLATE SODIUM 180 MG TABLET,DELAYED RELEASE",STR,,
"MYCOPHENOLATE SODIUM 360 MG TABLET,DELAYED RELEASE",STR,,
NADOLOL 20 MG TABLET,STR,,
NADOLOL 40 MG TABLET,STR,,
NAFCILLIN 2 G IN D5W 100 ML PYXIS MINIBAG,STR,,
NALOXONE 0.04 MG/ML INJECTION,STR,,
NALOXONE 0.4 MG/ML INJECTION SOLUTION,STR,,
NALOXONE 1 MG/ML INJECTION SYRINGE,STR,,
NALOXONE INFUSION ADULT,STR,,
NALTREXONE 50 MG TABLET,STR,,
"NALTREXONE ER 380 MG INTRAMUSCULAR SUSPENSION,EXTENDED RELEASE",STR,,
NAPHAZOLINE 0.025 %-PHENIRAMINE 0.3 % EYE DROPS,STR,,
NAPHAZOLINE-GLYCERIN 0.012 %-0.25 % EYE DROPS,STR,,,
NAPROXEN 250 MG TABLET,STR,,
NAPROXEN 375 MG TABLET,STR,,
NAPROXEN 500 MG TABLET,STR,,
NARCAN TAKE HOME KIT – DO NOT ADMINISTER,VIT,,
NATALIZUMAB INFUSION,STR,,
NEBIVOLOL 2.5 MG TABLET,STR,,
NEBIVOLOL 20 MG TABLET,STR,,
NEMOLIZUMAB-ILTO 30 MG SUBCUTANEOUS PEN INJECTOR,STR,,
NEOMYCIN 1.75 MG-POLYMYXIN 10,000 UNIT-GRAMICIDIN 0.025MG/ML EYE DROPS",STR,,
NEOMYCIN 500 MG TABLET,STR,,
NEOMYCIN-BACITRACIN-POLYMYXN 3.5 MG-400 UNIT-10,000 UNIT/GRAM EYE OINT",STR,,
"NEOMYCIN-BACITRACN ZN-POLYMYX 3.5 MG-400 UNIT-5,000 UNIT/GRAM TOP OINT",STR,,
NEOMYCIN-BACITRACN ZN-POLYMYXN 3.5 MG-400 UNIT-5,000 UNIT TOP OINT PKT,STR,,
NEOMYCIN-POLYMYXIN-DEXAMETH 3.5 MG/ML-10,000 UNIT/ML-0.1% EYE DROPS",STR,,
NEOMYCIN-POLYMYXIN-HYDROCORT 3.5 MG/ML-10,000 UNIT/ML-1 % EAR SOLUTION",STR,,
NEOSTIGMINE METHYLSULFATE 1 MG/ML INTRAVENOUS SOLUTION,STR,,
NEOSTIGMINE METHYLSULFATE 4 MG/4 ML (1 MG/ML) INTRAVENOUS SYRINGE,STR,,
NEOSTIGMINE METHYLSULFATE 5 MG/5 ML (1 MG/ML) INTRAVENOUS SYRINGE,STR,,
NETARSUDIL 0.02 % EYE DROPS,STR,,
NETARSUDIL 0.02 %-LATANOPROST 0.005 % EYE DROPS,S,,
NIACIN 100 MG TABLET,VIT,,
NICARDIPINE 25 MG INTRAVENOUS SOLUTION ANESTHESIA INFUSION,IV,,
NICARDIPINE 25 MG/10 ML INTRAVENOUS SOLUTION,IV,,
NICARDIPINE IN NS 25 MG,IV,,
NICARDIPINE IN NORMAL SALINE 25 MG,IV,,
NICARDIPINE 25 MG/100 ML NS PYXIS MINIBAG,IV,,
NICOTINE (POLACRILEX) 2 MG GUM,VIT,,
NICOTINE (POLACRILEX) 4 MG GUM,VIT,,
NICOTINE 14 MG/24 HR DAILY TRANSDERMAL PATCH,VIT,,
NICOTINE 21 MG/24 HR DAILY TRANSDERMAL PATCH,VIT,,
NICOTINE 7 MG/24 HR DAILY TRANSDERMAL PATCH,VIT,,
NICOTINE PATCH REMOVAL,STR,,
NIFEDIPINE 10 MG CAPSULE,STR,,
NIFEDIPINE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",PHRM,,
NIFEDIPINE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",PHRM,,
NIFEDIPINE ER 90 MG TABLET,EXTENDED RELEASE 24 HR",PHRM,,
NILOTINIB HCL 150 MG CAPSULE,STR,,
NIMODIPINE 30 MG CAPSULE,STR,,
NINTEDANIB 150 MG CAPSULE,STR,,
NIRAPARIB 100 MG TABLET,STR,,
NIRMATRELVIR 150 MG (10)-RITONAVIR 100 MG (10) TABLETS IN A DOSE PACK,STR,,
NIRMATRELVIR 300 MG-RITONAVIR 100 MG TABLET,STR,,
NITAZOXANIDE 500 MG TABLET,STR,,
NITROFURANTOIN MONOHYDRATE/MACROCRYSTALS 100 MG CAPSULE,STR,,
NITROGLYCERIN 0.2 MG/HR TRANSDERMAL 24 HOUR PATCH,STR,,
NITROGLYCERIN 0.3 MG SUBLINGUAL TABLET,STR,,
NITROGLYCERIN 0.4 MG SUBLINGUAL TABLET,STR,,
NITROGLYCERIN 100 MG/250 ML (400 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS,STR,,
NITROGLYCERIN 1000 MCG/10 ML SYRINGE,STR,,
NITROGLYCERIN 2 % TRANSDERMAL OINTMENT,STR,,
NITROGLYCERIN 50 MG/10 ML (5 MG/ML) INTRAVENOUS SOLUTION,STR,,
NITROGLYCERIN 50 MG/250 ML (200 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS,STR,,
NITROPRUSSIDE 20 MG/100 ML (0.2 MG/ML) IN 0.9% SODIUM CHLORIDE IV SOLN,STR,,
NITROPRUSSIDE INFUSION ADULT,STR,,
NIVOLUMAB CHEMO INFUSION,STR,,
NOREPINEPHRINE 1 MG/ML INTRAVENOUS SOLUTION,STR,,
NOREPINEPHRINE 16 MG/250 ML (64 MCG/ML) IN 0.9 % NACL IV,STR,,
NOREPINEPHRINE 16 MG/250 ML (64 MCG/ML) IN DEXTROSE 5 % IV,STR,,
NOREPINEPHRINE 16 MG/250 ML (NON-STANDARD CONCENTRATION) INFUSION,STR,,
NOREPINEPHRINE 8 MG/250 ML (32 MCG/ML) IN 0.9 % NACL IV,IV,,
NOREPINEPHRINE IN NS (LEVOPHED IN NS) 8 MG/250 ML IVBG,IV,,
NOREPINEPHRINE INFUSION ADULT,STR,,
NORETHINDRONE (CONTRACEPTIVE) 0.35 MG TABLET,STR,,
NORETHINDRONE 1 MG-ETHINYL ESTRADIOL 20 MCG (21)-IRON 75 MG (7) TABLET,STR,,
NORETHINDRONE ACETATE 1 MG-ETHINYL ESTRADIOL 20 MCG TABLET,STR,,
NORETHINDRONE ACETATE 5 MG TABLET,STR,,
NORFLURANE-PENTAFLUOROPROPANE TOPICAL SPRAY,STR,,
NORGESTIMATE 0.25 MG-ETHINYL ESTRADIOL 0.035 MG TABLET,STR,,
NORTRIPTYLINE 10 MG CAPSULE,STR,,
NORTRIPTYLINE 25 MG CAPSULE,STR,,
NORTRIPTYLINE 75 MG CAPSULE,STR,,
NUTRITION SUPP-INULIN-FOS-FIBER 0.05 GRAM-1.2 KCAL/ML TUBE FEED LIQUID,STR,,
"NYSTATIN 100,000 UNIT/GRAM TOPICAL CREAM",STR,,
"NYSTATIN 100,000 UNIT/GRAM TOPICAL OINTMENT",STR,,
"NYSTATIN 100,000 UNIT/GRAM TOPICAL POWDER",STR,,
"NYSTATIN 100,000 UNIT/ML ORAL SUSPENSION",PHRM,,
OCRELIZUMAB 600 MG CHEMO INFUSION,STR,,
OCRELIZUMAB CHEMO INFUSION,STR,,
OCTREOTIDE ACETATE 100 MCG/ML INJECTION SOLUTION,PHRM,,
OCTREOTIDE ACETATE 50 MCG/ML INJECTION SOLUTION,PHRM,,
OCTREOTIDE ACETATE 500 MCG/ML INJECTION SOLUTION,PHRM,,
OCTREOTIDE IN SODIUM CHLORIDE 1000 MCG/250 ML INFUSION,PHRM,,
OCTREOTIDE IV INFUSION SLW ADULT,PHRM,,
"OCTREOTIDE,MICROSPHERES ER 20 MG INTRAMUSCULAR SUSP, EXTENDED RELEASE",STR,,
OFLOXACIN 0.3 % EAR DROPS,STR,,
OFLOXACIN 0.3 % EYE DROPS,STR,,
OLANZAPINE 10 MG DISINTEGRATING TABLET,STR,,
OLANZAPINE 10 MG INTRAMUSCULAR SOLUTION,STR,,
OLANZAPINE 10 MG/2 ML VIAL,PHRM,BACK - LOWER HALF - I section,
OLANZAPINE 10 MG TABLET,STR,,
OLANZAPINE 15 MG TABLET,STR,,
OLANZAPINE 2.5 MG TABLET,PHRM,,
OLANZAPINE 20 MG TABLET,STR,,
